pareçiere	pareciere
açer	hacer
y	y
desazer	deshacer
de	de
la	la
parte	parte
que	que
a	a
vmd	vm
le	le
tocare	tocare
se	se
a	ha
de	de
presentar	presentar
esta	esta
requisitoria	requisitoria
ante	ante
la	la
justiçia	justicia
de	de
esa	esa
billa	villa
para	para
que	que
conste	conste
por	por
ynformaçion	información
de	de
como	como
vmd	vm
es	es
madre	madre
de	de
diego	diego
mendez	méndez
que	que
este	esté
en	en
el	el
cielo	cielo
y	y
mujer	mujer
de	de
mi	mi
padre	padre
baltasar	baltasar
de	de
siera	sierra
que	que
dios	dios
aya	haya
perdonado	perdonado
porque	porque
todo	todo
esto	esto
a	ha
de	de
benir	venir
en	en
ynforçion	información
y	y
los	los
que	que
xuraren	juraren
sean	sean
honbres	hombres
principales	principales
basta	basta
media	media
dosena	docena
para	para
que	que
tengamos	tengamos
fuerça	fuerza
y	y
no	no
ayga	haya
aca	acá
ynpedimento	impedimento
ninguno	ninguno
y	y
esta	esta
delijensia	diligencia
se	se
ase	hace
porque	porque
el	el
mallogrado	malogrado
que	que
dios	dios
tenga	tenga
en	en
el	el
sielo	cielo
asi	así
lo	lo
hordeno	ordenó
siendo	siendo
en	en
presensia	presencia
de	de
los	los
señores	señores
albazeas	albaceas
y	y
testigos	testigos
ssiendo	siendo
vmd	vm
biba	viva
se	se
remitiese	remitiese
a	a
mi	mí
el	el
poder	poder
y	y
no	no
a	a
otro	otro
ninguno	ninguno
y	y
en	en
presençia	presencia
de	de
mis	mis
ermanos	hermanos
estando	estando
todos	todos
juntos	juntos
un	un
dia	día
antes	antes
que	que
dios	dios
le	le
llebase	llevase
y	y
por	por
ser	ser
berdad	verdad
yra	irá
firmado	firmado
de	de
ellos	ellos
en	en
esta	ésta
porque	porque
no	no
quiso	quiso
el	él
que	que
dios	dios
tenga	tenga
en	en
el	el
sielo	cielo
que	que
sus	sus
bienes	bienes
coriese	corriese
con	con
ellos	ellos
antonio	antonio
de	de
siera	sierra
y	y
que	que
no	no
fuese	fuese
balido	válido
el	el
poder	poder
que	que
el	él
trujese	trajese
de	de
vmd	vm
ni	ni
otro	otro
alguno	alguno
de	de
sus	sus
hermanos	hermanos
ssi	si
no	no
es	es
a	a
mi	mí
y	y
si	si
vmd	vm
ubiese	hubiese
faltado	faltado
antes	antes
que	que
el	él
nonbro	nombró
por	por
herederos	herederos
a	a
su	su
hermana	hermana
doña	doña
blanca	blanca
y	y
a	a
clara	clara
y	y
a	a
doña	doña
beatriz	beatriz
y	y
a	a
manuel	manuel
y	y
despues	después
de	de
aber	haber
hecho	hecho
el	el
testamento	testamento
que	que
yo	yo
no	no
me	me
alle	halle
presente	presente
me	me
dexo	dejó
que	que
hentrase	entrase
yo	yo
en	en
primer	primer
lugar	lugar
y	y
por	por
padre	padre
de	de
todos	todos
y	y
el	el
poder	poder
a	ha
de	de
benir	venir
autorizado	autorizado
de	de
todos	todos
los	los
escribanos	escribanos
que	que
ubiere	hubiere
en	en
esa	esa
va	villa
y	y
despues	después
de	de
los	los
escribanos	escribanos
dee	de
la	la
billa	villa
se	se
le	le
a	ha
de	de
adbertir	advertir
a	a
el	el
propio	propio
que	que
a	ha
de	de
refrendar	refrendar
en	en
polan	polán
y	y
en	en
el	el
primer	primer
lugar	lugar
que	que
llegare	llegare
como	como
conoze	conoce
a	a
los	los
escribanos	escribanos
que	que
bienen	vienen
en	en
el	el
poder	poder
y	y
el	el
propio	propio
se	se
a	ha
de	de
despachar	despachar
en	en
un	un
dia	día
sin	sin
que	que
aya	haya
dilazion	dilación
porque	porque
si	si
tardare	tardare
mas	más
se	se
le	le
a	ha
de	de
pagar	pagar
los	los
dias	días
que	que
le	le
detubiere	detuviere
y	y
tanbien	también
le	le
daran	darán
de	de
comer	comer
y	y
todo	todo
lo	lo
que	que
costaren	costaren
los	los
papeles	papeles
de	de
sacar	sacar
me	me
lo	lo
abisen	avisen
y	y
aparten	aparten
en	en
el	el
poder	poder
no	no
ai	hay
otra	otra
cosa	cosa
de	de
que	que
avisar	avisar
a	a
vmd	vm
en	en
este	este
particular	particular
y	y
todos	todos
los	los
bienes	bienes
estan	están
depositados	depositados
por	por
mandado	mandado
del	del
juez	juez
de	de
esta	esta
va	villa
en	en
el	el
ynter	ínter
q	que
vmd	vm
me	me
henbia	envía
este	este
poder	poder
y	y
el	el
tersio	tercio
de	de
la	la
asienda	hacienda
de	de
diego	diego
mendez	méndez
qu	que
este	esté
en	en
gloria	gloria
dexo	dejo
a	a
su	su
mujer	mujer
a	a
quien	quien
gue	guarde
dios	dios
como	como
deseo	deseo
aguilar	aguilar
abril	abril
17	17
de	de
1658	1658
añosyjo	añoshijo
de	de
vmdfernan	vmfernán
mendezmanuel	méndezmanuel
mendezclara	méndezclara
mendez	méndez
mucho	mucho
me	me
espante	espanté
quando	cuando
estube	estuve
en	en
esse	ese
lugar	lugar
que	que
haviendo	habiendo
conçertado	concertado
de	de
çenar	cenar
juntos	juntos
la	la
noche	noche
siguiente	siguiente
despues	después
que	que
ubimos	hubimos
comido	comido
no	no
cumplio	cumplió
su	su
palabra	palabra
no	no
se	sé
si	si
lo	lo
causo	causó
el	el
no	no
servir	servir
a	a
vmd	vm
en	en
el	el
cumplimiento	cumplimiento
y	y
puntualidad	puntualidad
que	que
estava	estaba
obligado	obligado
aunque	aunque
esta	esta
mengua	mengua
no	no
se	se
le	le
puede	puede
atribuir	atribuir
a	a
mi	mi
voluntad	voluntad
que	que
esta	ésta
siempre	siempre
se	se
estara	estará
en	en
su	su
ser	ser
i	y
prunta	pronta
para	para
su	su
serviçio	servicio
la	la
causa	causa
de	de
andar	andar
corto	corto
si	si
acasso	acaso
lo	lo
andube	anduve
fue	fue
la	la
vrevedad	brevedad
con	con
que	que
el	el
capitan	capitán
mi	mi
señor	señor
dispuso	dispuso
su	su
buelta	vuelta
y	y
el	el
no	no
haver	haber
yo	yo
hecho	hecho
antes	antes
esso	eso
a	ha
sido	sido
aguardando	aguardando
a	a
que	que
vmd	vm
lo	lo
hiçiera	hiciera
o	o
se	se
biniera	viniera
por	por
aca	acá
tres	tres
o	o
quatro	cuatro
dias	días
como	como
vmd	vm
sus	sus
lo	lo
havia	había
prometido	prometido
y	y
tanbien	también
como	como
yo	yo
me	me
sali	salí
de	de
en	en
casa	casa
de	de
el	el
capitan	capitán
no	no
he	he
tenido	tenido
cosa	cosa
de	de
asiento	asiento
hasta	hasta
agora	ahora
que	que
estoi	estoy
en	en
una	una
cassa	casa
mui	muy
honrrada	honrada
donde	donde
se	se
me	me
haçe	hace
grandissima	grandísima
md	merced
y	y
vmd	vm
podra	podrá
mandarme	mandarme
como	como
siempre	siempre
y	y
avisarme	avisarme
de	de
su	su
salud	salud
y	y
sus	sus
sucesos	sucesos
pues	pues
sabe	sabe
que	que
en	en
esso	eso
terne	tendré
io	yo
grandissimo	grandísimo
gusto	gusto
i	y
tanbien	también
de	de
la	la
salud	salud
de	de
todos	todos
essos	esos
señores	señores
en	en
particular	particular
de	de
la	la
de	de
mi	mi
señora	señora
ana	ana
maria	maría
a	a
quien	quien
dara	dará
vmd	vm
de	de
mi	mi
parte	parte
mui	muy
grandes	grandes
recaudos	recaudos
y	y
al	al
señor	señor
licenciado	licenciado
i	y
a	a
la	la
señora	señora
ana	ana
i	y
a	a
la	la
señora	señora
susana	susana
palhi	palhi
josacado	josacado
i	y
a	a
juan	juan
guerrero	guerrero
i	y
a	a
sebastian	sebastián
i	y
a	a
vmd	vm
que	que
mi	mi
dios	dios
millones	millones
de	de
anos	años
gde	guarde
de	de
alcala	alcalá
y	y
septiembe	septiembre
17	17
de	de
1613	1613
anosde	añosde
vmdgeronimo	vmgerónimo
del	del
capillola	capillola
respuesta	respuesta
benga	venga
en	en
la	la
calle	calle
de	de
los	los
en	en
casa	casa
de	de
gaspar	gaspar
pardo	pardo
si	si
dios	dios
quiere	quiere
sor	señor
q	que
yo	yo
buelva	vuelva
a	a
galicia	galicia
no	no
ay	hay
sino	sino
rendir	rendir
nra	nuestra
volad	voluntad
a	a
la	la
suya	suya
y	y
no	no
resistirle	resistirle
en	en
nada	nada
yo	yo
estava	estaba
determinado	determinado
de	de
yrme	irme
pa	para
pasando	pasando
mañana	mañana
po	pero
d	de
estar	estar
el	el
literero	literero
y	y
otros	otros
criados	criados
enfermos	enfermos
y	y
averme	haberme
con	con
criado	criado
de	de
mi	mi
igla	iglesia
q	que
me	me
detenga	detenga
hasta	hasta
q	que
amanse	amanse
malos	malos
tabardillos	tabardillos
q	que
alli	allí
anda	andan
muchos	muchos
y	y
mortales	mortales
me	me
detendra	detendrá
estos	estos
15	15
dias	días
el	el
pe	padre
pizdo	pizdo
me	me
dijo	dijo
q	que
vmd	vm
pedia	pedía
no	no
se	sé
q	qué
prolongacio	prolongación
de	de
unas	unas
dimisorias	dimisorias
y	y
començandolas	comenzándolas
a	a
firmar	firmar
q	que
por	por
pedirlo	pedirlo
vmd	vm
no	no
lo	lo
difficulte	dificulté
supe	supe
q	que
era	era
pa	para
un	un
clerigo	clérigo
poco	poco
cortes	cortés
y	y
q	que
se	se
me	me
descomedio	descomedió
ay	ahí
porq	porque
no	no
se	se
las	las
dava	daba
por	por
los	los
aos	años
q	que
el	él
queria	quería
deje	dejé
de	de
embiarlas	enviarlas
si	si
vmd	vm
juzga	juzga
q	que
no	no
obstante	obstante
esto	esto
es	es
bie	bien
darlas	darlas
las	las
dare	daré
po	pero
no	no
como	como
el	él
quiere	quiere
sino	sino
limitadas	limitadas
porq	porque
otros	otros
como	como
el	él
no	no
tome	tomen
semejante	semejante
y	y
en	en
todo	todo
lo	lo
q	que
fuere	fuere
gusto	gusto
de	de
vmd	vm
me	me
hallara	hallará
muy	muy
de	de
su	su
gusto	gusto
a	a
esas	esas
sras	señoras
la	la
sra	señora
priora	priora
la	la
sra	señora
da	doña
ma	maría
les	les
b	beso
l	las
m	manos
no	nuestro
sor	señor
a	a
vmd	vm
gde	guarde
e	etc
31fr	31fray
po	pedro
obo	obispo
de	de
a	a
mi	mí
me	me
importa	importa
saber	saber
con	con
puntualidad	puntualidad
y	y
brevedad	brevedad
y	y
secreto	secreto
quando	cuándo
murio	murió
don	don
alvaro	álvaro
de	de
castro	castro
hijo	hijo
de	de
un	un
cavallero	caballero
ayo	ayo
del	del
marques	marqués
de	de
tarifa	tarifa
q	que
es	es
hijo	hijo
del	del
duque	duque
de	de
alcala	alcalá
q	que
esta	está
ay	ahí
y	y
saber	saber
donde	dónde
murio	murió
y	y
todo	todo
esto	esto
co	con
suma	suma
brevedad	brevedad
secreto	secreto
y	y
puntualidad	puntualidad
puedese	puédese
saber	saber
en	en
casa	casa
del	del
duq	duque
de	de
alcala	alcalá
q	que
esta	está
ay	ahí
y	y
de	de
ninguna	ninguna
manera	manera
se	se
ha	ha
de	de
insinuar	insinuar
q	que
se	se
haze	hace
esta	esta
diligencia	diligencia
por	por
orde	orden
mia	mía
por	por
vida	vida
de	de
vmd	vm
me	me
la	la
haga	haga
de	de
al	al
punto	punto
inquirirlo	inquirirlo
por	por
las	las
mejores	mejores
vias	vías
q	que
pudiere	pudiere
y	y
las	las
mas	más
ciertas	ciertas
y	y
avisarme	avisarme
d	de
ello	ello
con	con
todo	todo
certeza	certeza
y	y
brevedad	brevedad
q	que
me	me
importa	importa
mucho	mucho
yo	yo
ando	ando
por	por
estas	estas
montañas	montañas
de	de
ribadavia	ribadavia
cofirmado	confirmando
y	y
visitando	visitando
q	que
ha	ha
20	20
aos	años
q	que
no	no
vino	vino
por	por
aqui	aquí
obo	obispo
he	he
pasado	pasado
harto	harto
trabajo	trabajo
por	por
entrar	entrar
muy	muy
de	de
veras	veras
el	el
yvierno	invierno
me	me
bolvere	volveré
presto	presto
a	a
mi	mi
casa	casa
al	al
pe	padre
fr	fray
juo	juan
de	de
herrera	herrera
b	beso
l	las
m	manos
mil	mil
vezes	veces
y	y
siendo	siendo
menester	menester
le	le
supco	suplico
encarescedamte	encarecidamente
por	por
su	su
parte	parte
me	me
haga	haga
md	merced
de	de
hazer	hacer
la	la
diligencia	diligencia
no	nuestro
sor	señor
etc	etc
ribadavia	ribadavia
17	17
de	de
9brefr	noviembrefray
po	pedro
obo	obispo
de	de
tued	tuy
en	en
el	el
alma	alma
e	he
sentido	sentido
que	que
vm	vm
no	no
se	se
acuerde	acuerde
que	que
le	le
desseo	deseo
servir	servir
y	y
que	que
haviendo	habiendo
essa	esa
obligacion	obligación
y	y
que	que
havendo	habiendo
llegado	llegado
a	a
la	la
almolda	almolda
no	no
me	me
haia	haya
querido	querido
hazer	hacer
md	merced
de	de
mandarme	mandarme
havia	había
determinado	determinado
de	de
no	no
escrebir	escribir
a	a
vm	vm
pues	pues
vm	vm
se	se
olbidaba	olvidaba
de	de
l	la
amistad	amistad
que	que
havia	había
entre	entre
los	los
dos	dos
pero	pero
considerando	considerando
que	que
aunque	aunque
por	por
parte	parte
de	de
vm	vm
haia	haya
esse	ese
olbido	olvido
de	de
mi	mi
parte	parte
no	no
lo	lo
esta	está
hanme	hanme
dicho	dicho
ha	ha
echo	hecho
vm	vm
conducta	conducta
con	con
los	los
ss	señores
jurados	jurados
d	de
esta	esta
villa	villa
yo	yo
creo	creo
que	que
sus	sus
mdes	mercedes
no	no
se	se
deben	deben
de	de
acordar	acordar
que	que
el	el
cirujano	cirujano
que	que
tienen	tienen
le	le
tienen	tienen
conducido	conducido
por	por
quatro	cuatro
años	años
y	y
que	que
le	le
faltan	faltan
dos	dos
por	por
cumplir	cumplir
ni	ni
aun	aún
tanpoco	tampoco
se	se
lo	lo
habran	habrán
dado	dado
a	a
vm	vm
a	a
entender	entender
que	que
yo	yo
crreo	creo
bien	bien
de	de
su	su
buena	buena
naturaleza	naturaleza
de	de
vm	vm
que	que
quando	cuando
por	por
algun	algún
camino	camino
lo	lo
llegara	llegara
a	a
entender	entender
que	que
aunque	aunque
estos	estos
ss	señores
le	le
conducieran	conducieran
a	a
gusto	gusto
de	de
todos	todos
y	y
a	a
vm	vm
se	se
le	le
diera	diera
de	de
partido	partido
mil	mil
ducados	ducados
a	a
trueque	trueque
de	de
que	que
los	los
de	de
esta	esta
villa	villa
no	no
faltaran	faltaran
a	a
lo	lo
que	que
prometen	prometen
a	a
los	los
serbientes	sirvientes
y	y
que	que
nadie	nadie
quexara	quejara
d	de
ellos	ellos
con	con
razon	razón
no	no
biniera	viniera
vm	vm
hazernos	hacernos
md	merced
quanto	cuanto
mas	más
que	que
en	en
ley	ley
de	de
buena	buena
cortesia	cortesía
se	se
deben	deben
essa	ésa
los	los
de	de
un	un
mismo	mismo
arte	arte
que	que
durate	durante
la	la
conducta	conducta
no	no
se	se
debe	debe
de	de
tratar	tratar
de	de
sacar	sacar
a	a
quien	quien
esta	está
conducido	conducido
aqui	aquí
ha	ha
de	de
haber	haber
muy	muy
grandes	grandes
disgustos	disgustos
entre	entre
los	los
ss	señores
jurados	jurados
y	y
el	el
cirujano	cirujano
y	y
la	la
maior	mayor
parte	parte
de	de
los	los
vesinos	vecinos
de	de
esta	esta
villa	villa
de	de
lo	lo
qual	cual
se	se
a	ha
de	de
seguir	seguir
muy	muy
grandes	grandes
offenssas	ofensas
de	de
dios	dios
y	y
turbacion	turbación
del	del
bien	bien
comun	común
que	que
aunque	aunque
estos	estos
ss	señores
lo	lo
haian	hayan
hecho	hecho
yo	yo
creo	creo
que	que
lo	lo
sienten	sienten
aunque	aunque
no	no
lo	lo
muestran	muestran
de	de
que	que
sin	sin
occassion	ocasión
al	al
menos	menos
legitima	legítima
haian	hayan
despidido	despedido
a	a
una	una
persona	persona
tan	tan
benemerita	benemérita
de	de
la	la
conducta	conducta
de	de
l	la
almolda	almolda
como	como
la	la
que	que
tienen	tienen
y	y
pues	pues
a	a
vm	vm
no	no
le	le
han	han
de	de
faltar	faltar
conductas	conductas
tan	tan
honrradas	honradas
como	como
las	las
de	de
esta	esta
villa	villa
y	y
de	de
tanto	tanto
provecho	provecho
dexesse	déjese
vm	vm
de	de
quentos	cuentos
de	de
benir	venir
a	a
servir	servir
adonde	adonde
no	no
viene	viene
con	con
gusto	gusto
de	de
todos	todos
y	y
que	que
a	a
qualquiere	cualquiera
nineria	niñería
a	ha
de	de
estar	estar
siempre	siempre
inquieto	inquieto
y	y
ssi	si
le	le
pareze	parece
que	que
yo	yo
le	le
engaño	engaño
bengase	véngase
vm	vm
aqui	aquí
y	y
rescivira	recibirá
desengaño	desengaño
de	de
lo	lo
que	que
le	le
digo	digo
y	y
no	no
digo	digo
mas	más
sino	sino
sapienti	sapienti
pauca	pauca
y	y
con	con
esto	esto
nro	nuestro
sor	señor
gde	guarde
a	a
vm	vm
de	de
l	la
almolda	almolda
y	y
octubre	octubre
a	a
29	29
de	de
1611joan	1611juan
palacio	palacio
pd	padre
comendadorp	comendadorpor
mano	mano
del	del
pr	presente
sr	señor
andrés	andrés
de	de
sa	santa
maria	maría
rvi	recibí
la	la
de	de
v	vuestra
rma	reverendísima
de	de
3	3
del	del
corriente	corriente
con	con
la	la
estimazon	estimación
en	en
que	que
me	me
tiene	tiene
puesta	puesta
la	la
mrd	merced
que	que
me	me
hace	hace
y	y
nacido	nacido
de	de
las	las
deseadas	deseadas
noticias	noticias
que	que
v	vuestra
rma	reverendísima
se	se
sirve	sirve
participarme	participarme
de	de
su	su
buena	buena
salud	salud
continuela	continúela
dios	dios
lo	lo
dilatado	dilatado
que	que
puede	puede
con	con
iguales	iguales
aumentos	aumentos
yo	yo
a	ha
muchos	muchos
dias	días
estoy	estoy
padeciendo	padeciendo
el	el
achaque	achaque
de	de
la	la
gota	gota
pero	pero
de	de
qualquier	cualquier
forma	forma
estoy	estoy
al	al
servio	servicio
de	de
v	vuestra
rma	reverendísima
de	de
coraçonla	corazónla
mesma	misma
propusicion	proposición
que	que
hace	hace
oy	hoy
la	la
senora	señora
escolastica	escolástica
me	me
hizo	hizo
abra	habrá
cinco	cinco
años	años
por	por
mano	mano
de	de
un	un
relixiosso	religioso
franco	francisco
de	de
esaud	esaud
a	a
la	la
qual	cual
respondi	respondí
diesse	diese
su	su
mrd	merced
a	a
sus	sus
hijos	hijos
quanto	cuanto
tubiesse	tuviese
hasta	—hasta
la	la
camisa	camisa
que	que
tray	trae
puesta	puesta
si	si
esa	ésa
era	era
neçesaria	necesaria—
y	y
qu	que
esto	esto
se	se
viniese	viniese
asistida	asistida
de	de
un	un
hijo	hijo
o	o
u	un
hermano	hermano
conque	conque
de	de
la	la
repetizon	repetición
de	de
su	su
mrd	merced
no	no
saco	saco
mas	más
que	que
fastidio	fastidio
y	y
provocazon	provocación
a	a
que	que
lo	lo
intente	intente
lo	lo
que	que
asta	hasta
aora	ahora
no	no
avia	había
querido	querido
hacer	hacer
aunque	aunque
me	me
expusiera	expusiera
a	a
la	la
mayor	mayor
tolerancia	tolerancia
que	que
en	en
el	el
siglo	siglo
y	y
entre	entre
casados	casados
se	se
puede	puede
padecer	padecer
y	y
que	que
este	este
accidente	accidente
se	se
le	le
avia	había
manifestado	manifestado
a	a
su	su
mrd	merced
a	a
boca	boca
es	es
cierto	cierto
mi	mi
padre	padre
comendador	comendador
que	que
el	el
matrimonio	matrimonio
en	en
el	el
sentir	sentir
de	de
las	las
perssnas	personas
con	con
quien	quien
lo	lo
e	he
comunicado	comunicado
es	es
balido	válido
si	si
bien	bien
acia	hacia
mi	mí
era	era
preçisso	preciso
invalidarle	invalidarle
en	en
casso	caso
de	de
continuarle	continuarle
ya	ya
tenemos	tenemos
matrimonio	matrimonio
y	y
la	la
sra	señora
escolastica	escolástica
marido	marido
que	que
era	era
donde	donde
batia	batía
segun	según
decia	decía
su	su
pundonor	pundonor
respecto	respecto
de	de
las	las
antezedencias	antecedencias
despues	después
se	se
sigue	sigue
el	el
que	que
a	a
su	su
mrd	merced
le	le
quede	quede
en	en
tanto	tanto
estremo	extremo
tan	tan
mal	mal
el	el
olfato	olfato
que	que
no	no
hay	hay
resistenzia	resistencia
a	a
tolerarlo	tolerarlo
como	como
digo	digo
lo	lo
qual	cual
le	le
e	he
manifestado	manifestado
y	y
aviendome	habiéndome
respondido	respondido
me	me
dijo	dijo
la	la
causa	causa
era	era
aver	haber
tenido	tenido
un	un
pecho	pecho
danado	dañado
esta	ésta
es	es
provanza	probanza
exterior	exterior
y	y
si	si
v	vuestra
rma	reverendísima
aplica	aplica
el	el
cuidado	cuidado
experimentara	experimentará
esta	esta
verdad	verdad
y	y
rreconocera	reconocerá
no	no
ser	ser
fiçion	ficción
esto	esto
supuesto	supuesto
y	y
por	por
este	este
lado	lado
intento	intento
esta	esta
primavera	primavera
por	por
mi	mí
o	o
perssona	persona
con	con
mi	mi
poder	poder
poner	poner
pleito	pleito
en	en
s	san
franco	francisco
y	y
decir	decir
de	dé
nullidad	nulidad
si	si
dios	dios
quiere	quiere
y	y
me	me
da	da
salud	salud
y	y
ansi	ansí
lo	lo
puedo	puedo
tener	tener
entendido	entendido
y	y
que	que
no	no
dare	daré
lugar	lugar
mas	más
a	a
largas	largas
noticias	noticias
basta	basta
las	las
que	que
a	ha
havido	habido
en	en
doce	doce
u	o
treçe	trece
anos	años
que	que
aqui	aquí
estamos	estamos
en	en
esta	esta
pescina	piscina
yo	yo
sin	sin
convenienzia	conveniencia
por	por
esta	esta
causa	causa
con	con
quarenta	cuarenta
u	o
quarenta	cuarenta
y	y
uno	uno
infestado	infestado
de	de
algunos	algunos
achaques	achaques
y	y
que	que
no	no
es	es
gusto	justo
continuar	continuar
semejante	semejante
vida	vida
esta	ésta
m	mi
padre	padre
comendador	comendador
es	es
mi	mi
ultimo	último
sentir	sentir
y	y
que	que
v	vuestra
rma	reverendísima
me	me
mande	mande
cuanto	cuanto
sea	sea
de	de
su	su
agrado	agrado
y	y
perdone	perdone
estos	estos
enfados	enfados
que	que
de	de
no	no
ser	ser
v	vuestra
rma	reverendísima
quien	quien
es	es
temiera	temiera
el	el
rriesgo	riesgo
de	de
enfadoso	enfadoso
dios	dios
g	guarde
a	a
v	vuestra
rma	reverendísima
valld	valladolid
novibre	noviembre
21	21
de	de
1682b	1682besa
l	las
mos	manos
de	de
v	vuestra
rma	reverendísima
obligado	obligado
servidorfranco	servidorfrancisco
de	de
cossio	cossio
por	por
la	la
que	que
tube	tuve
de	de
juan	juan
de	de
11	11
del	del
corriente	corriente
veo	veo
averse	haberse
vmd	vm
allado	hallado
sin	sin
carta	carta
mia	mía
a	ha
2	2
correios	correios
que	que
lo	lo
siento	siento
en	en
estremo	extremo
que	que
yo	yo
no	no
falto	falto
con	con
ellas	ellas
el	el
caso	caso
es	es
que	que
se	se
las	las
quitan	quitan
en	en
la	la
estafeta	estafeta
de	de
que	que
necessita	necesita
vmd	vm
ponerse	ponerse
a	a
la	la
vista	vista
a	a
ver	ver
quien	quién
las	las
pide	pide
que	que
ha	ha
de	de
ser	ser
por	por
parte	parte
de	de
una	una
perssona	persona
que	que
me	me
tiene	tiene
escrito	escrito
tres	tres
vezes	veces
y	y
yo	yo
no	no
tengo	tengo
respondido	respondido
a	a
ellas	ellas
sin	sin
primero	primero
me	me
informar	informar
de	de
vmd	vm
quien	quién
era	era
que	que
dhas	dichas
cartas	cartas
mandava	mandaba
en	en
las	las
de	de
vmd	vm
para	para
el	el
correo	correo
escrivere	escribiré
dos	dos
renglones	renglones
no	no
mas	más
por	por
la	la
estafeta	estafeta
y	y
procure	procure
vmd	vm
otra	otra
carta	carta
a	a
jorjes	jorges
el	el
que	que
la	la
lleva	lleva
que	que
sera	será
otro	otro
canto	canto
d	de
esta	ésta
que	que
rimito	remito
a	a
manuel	manuel
y	y
para	para
se	se
poder	poder
saber	saber
fuera	fuera
mejor	mejor
asistiera	asistiera
a	a
la	la
mira	mira
juan	juan
ramos	ramos
por	por
no	no
ser	ser
conocido	conocido
yo	yo
respondo	respondo
en	en
dos	dos
palabras	palabras
a	a
la	la
sra	señora
que	que
es	es
pidiendole	pidiéndole
me	me
mande	mande
avissar	avisar
donde	dónde
le	le
tengo	tengo
de	de
rimitir	remitir
lo	lo
que	que
pudiere	pudiere
que	que
la	la
pra	primera
carta	carta
que	que
me	me
escrivio	escribió
enpeçava	empezaba
supuesto	«supuesto
que	que
no	no
conosco	conozco
a	a
vmd	vm
sino	sino
para	para
servillo	servillo
las	las
grandes	grandes
ynformaciones	informaciones
que	que
de	de
vmd	vm
me	me
an	han
dado	dado
de	de
quien	quien
es	es
le	le
suplico	suplico
me	me
socorra	socorra
con	con
lo	lo
que	que
pudiere	pudiere
que	que
an	han
sido	sido
tantos	tantos
mis	mis
trabajos	trabajos
y	y
tan	tan
grandes	grandes
quanto	cuanto
no	no
son	son
para	para
manifestar	manifestar
por	por
carta	carta
y	y
confiada	confiada
no	no
sirve	sirve
de	de
mas	más
a	a
vmd	vm
gde	guarde
dios	dios
palabras	—palabras
pocas	pocas
más	más
u	o
menos	menos—
izabel	isabel
roiz	rodríguez»
sigunda	segunda
en	en
la	la
misma	misma
forma	forma
diziendo	diciendo
me	me
avia	había
ya	ya
escrito	escrito
tercera	tercera
quatro	cuatro
ringlones	renglones
que	que
son	son
los	los
sites	siguientes
esta	«ésta
no	no
sirve	sirve
de	de
mas	más
que	que
de	de
acuerdo	acuerdo
de	de
que	que
tengo	tengo
a	a
vmd	vm
escrito	escrito
otras	otras
2	2
que	que
por	por
ella	ella
avera	habrá
vmd	vm
visto	visto
lo	lo
que	que
le	le
suppco	suplico
estimare	estimaré
que	que
vmd	vm
me	me
responda	responda
gde	guarde
dios	dios
a	a
vmd	vm
muchos	muchos
anos	años
md	madrid
a	a
11	11
de	de
mayo	mayo
de	de
1661	1661
izavel	isabel
roiz	rodríguez»
y	y
como	como
no	no
tengo	tengo
rrespondido	respondido
a	a
ellas	ellas
quereria	querría
saber	saber
pidiendo	pidiendo
las	las
cartas	cartas
si	si
estava	estaba
yo	yo
en	en
esta	ésta
pues	pues
que	que
no	no
respondia	respondía
que	qué
sera	será
lo	lo
cierto	cierto
mandandome	mandándome
avisar	avisar
donde	dónde
quiere	quiere
que	que
se	se
le	le
inbie	envíe
se	si
sabra	sabrá
quien	quién
es	es
de	de
que	que
dare	daré
avisso	aviso
de	de
todo	todo
prometo	prometo
a	a
vmd	vm
que	que
no	no
se	sé
donde	dónde
ha	ha
de	de
estar	estar
un	un
honbre	hombre
livre	libre
de	de
cartas	cartas
pues	pues
aun	aun
las	las
que	que
no	no
conoçen	conocen
dan	dan
enfado	enfado
en	en
las	las
que	que
faltavan	faltaban
tratava	trataba
de	de
todo	todo
largo	largo
y	y
que	que
me	me
avisase	avisase
si	si
venia	venía
el	el
tavaco	tabaco
por	por
quanto	cuanto
yo	yo
tendre	tendré
para	para
dies	diez
u	o
12	12
dias	días
no	no
mas	más
que	que
lo	lo
tengo	tengo
dejado	dejado
de	de
conprar	comprar
por	por
aguardar	aguardar
en	en
quanto	cuanto
a	a
cobranças	cobranzas
no	no
digo	digo
mas	más
sino	sino
que	que
por	por
no	no
le	le
dar	dar
paciones	pasiones
no	no
manifiesto	manifiesto
lo	lo
que	que
ay	hay
que	que
bastan	bastan
las	las
que	que
en	en
essa	esa
parte	parte
yo	yo
tengo	tengo
que	que
no	no
se	sé
que	qué
remedio	remedio
ha	ha
de	de
aver	haber
pues	pues
si	si
van	van
exxecutores	ejecutores
cobran	cobran
de	de
sus	sus
salarios	salarios
100	100
rs	reales
que	que
eran	eran
los	los
que	que
me	me
avian	habían
de	de
traer	traer
y	y
para	para
mi	mí
es	es
quedaren	quedar
de	de
peor	peor
calidad	calidad
por	por
quanto	cuanto
muebles	muebles
y	y
haciendas	haciendas
es	es
lo	lo
mismo	mismo
que	que
nada	nada
que	que
aun	aún
estoi	estoy
diviendo	debiendo
la	la
letra	letra
que	que
inbie	envié
